Map,Grass 20,Grass 20,Grass 10,Grass 10,Grass 10,Grass 10,Grass 5,Grass 5,Grass 5,Grass 5,Water 60,Water 30,Water 5,Water 5,Fishing 70,Fishing 30,Fishing 60,Fishing 20,Fishing 20,Fishing 40,Fishing 40,Fishing 15,Fishing 5,Rock 60,Rock 30,Rock 5,Rock 5
PetalburgCity,,,,,,,,,,,Marill,Azumarill,Surskit,Masquerain,Magikarp,Goldeen,Magikarp,Goldeen,Corphish,Corphish,Corphish,Corphish,Corphish,,,,
SlateportCity,,,,,,,,,,,Tentacool,Wingull,Pelipper,Pelipper,Magikarp,Tentacool,Magikarp,Tentacool,Wailmer,Wailmer,Wailmer,Wailmer,Wailmer,,,,
LilycoveCity,,,,,,,,,,,Tentacool,Wingull,Pelipper,Pelipper,Magikarp,Tentacool,Magikarp,Tentacool,Wailmer,Wailmer,Wailmer,Staryu,Staryu,,,,
MossdeepCity,,,,,,,,,,,Tentacool,Pelipper,Tentacruel,Tentacruel,Magikarp,Tentacool,Magikarp,Tentacool,Wailmer,Wailmer,Wailmer,Wailmer,Wailmer,,,,
SootopolisCity,,,,,,,,,,,Magikarp,Magikarp,Magikarp,Magikarp,Magikarp,Magikarp,Magikarp,Magikarp,Magikarp,Magikarp,Magikarp,Gyarados,Gyarados,,,,
EverGrandeCity,,,,,,,,,,,Tentacool,Pelipper,Tentacruel,Tentacruel,Magikarp,Tentacool,Magikarp,Luvdisc,Wailmer,Luvdisc,Luvdisc,Wailmer,Corsola,,,,
DewfordTown,,,,,,,,,,,Tentacool,Wingull,Pelipper,Pelipper,Magikarp,Tentacool,Magikarp,Tentacool,Wailmer,Wailmer,Wailmer,Wailmer,Wailmer,,,,
PacifidlogTown,,,,,,,,,,,Tentacool,Pelipper,Tentacruel,Tentacruel,Magikarp,Tentacool,Magikarp,Tentacool,Wailmer,Wailmer,Wailmer,Wailmer,Wailmer,,,,
Route101,Wurmple,Lillipup,Wurmple,Lillipup,Zigzagoon,Zorua,Zigzagoon,Zorua,Poochyena,Sewaddle,,,,,,,,,,,,,,,,,
Route102,Zigzagoon,Poochyena,Lotad,Seedot,Ralts,Surskit,Wurmple,Lillipup,Gothita,Tympole,Marill,Azumarill,Surskit,Masquerain,Magikarp,Goldeen,Magikarp,Goldeen,Corphish,Corphish,Corphish,Corphish,Corphish,,,,
Route103,Zigzagoon,Lillipup,Poochyena,Chatot,Shellos,Wingull,Shinx,Grubbin,Wingull,Chatot,Tentacool,Wingull,Pelipper,Pelipper,Magikarp,Tentacool,Magikarp,Tentacool,Wailmer,Wailmer,Wailmer,Wailmer,Wailmer,,,,
Route104,Zigzagoon,Pidove,Wurmple,Sewaddle,Taillow,Chatot,Wingull,Zigzagoon,Pidove,Wurmple,Wingull,Pelipper,Magikarp,Magikarp,Magikarp,Magikarp,Magikarp,Magikarp,Magikarp,Magikarp,Magikarp,Magikarp,Magikarp,,,,
Route105,,,,,,,,,,,Frillish,Skrelp,Clauncher,Krabby,Magikarp,Tentacool,Magikarp,Tentacool,Wailmer,Wailmer,Wailmer,Wailmer,Wailmer,,,,
Route106,,,,,,,,,,,Frillish,Skrelp,Clauncher,Krabby,Magikarp,Tentacool,Magikarp,Tentacool,Wailmer,Wailmer,Wailmer,Wailmer,Wailmer,,,,
Route107,,,,,,,,,,,Frillish,Skrelp,Clauncher,Krabby,Magikarp,Tentacool,Magikarp,Tentacool,Wailmer,Wailmer,Wailmer,Wailmer,Wailmer,,,,
Route108,,,,,,,,,,,Frillish,Skrelp,Clauncher,Krabby,Magikarp,Tentacool,Magikarp,Tentacool,Wailmer,Wailmer,Wailmer,Wailmer,Wailmer,,,,
Route109,,,,,,,,,,,Frillish,Skrelp,Pyukumuku,Pyukumuku,Magikarp,Mareanie,Magikarp,Wimpod,Mareanie,Wimpod,Mareanie,Mareanie,Toxapex,,,,
Route110,Electrike,Trubbish,Chatot,Gulpin,Shellos,Minun,Plusle,Oddish,Wingull,Voltorb,Tentacool,Wingull,Pelipper,Pelipper,Magikarp,Tentacool,Magikarp,Tentacool,Wailmer,Wailmer,Wailmer,Wailmer,Wailmer,,,,
Route111,Sandshrew,Sandile,Trapinch,Dwebble,Cacnea,Gible,Baltoy,Trapinch,Gligar,Gligar,Marill,Azumarill,Surskit,Masquerain,Magikarp,Goldeen,Magikarp,Goldeen,Barboach,Barboach,Barboach,Barboach,Barboach,,,,
Route112,Numel,Ponyta,Machop,Throh,Sawk,Tyrogue,Numel,Numel,Numel,Numel,,,,,,,,,,,,,,,,,
Route113,Spinda,Scraggy,Sandshrew,Klefki,Skarmory,Bouffalant,Spinda,Slugma,Fletchling,Fletchling,,,,,,,,,,,,,,,,,
Route114,Swablu,Skorupi,Lombre,Misdreavus,Nuzleaf,Tympole,Zangoose,Seviper,Surskit,Swablu,Marill,Azumarill,Surskit,Masquerain,Magikarp,Wishiwashi,Magikarp,Wishiwashi,Barboach,Wishiwashi,Barboach,Barboach,Barboach,Geodude,Geodude,Geodude,Geodude
Route115,Swablu,Pidove,Taillow,Misdreavus,Jigglypuff,Clefairy,Wingull,Swablu,Swirlix,Spritzee,Tentacool,Wingull,Pelipper,Pelipper,Magikarp,Wishiwashi,Magikarp,Wishiwashi,Wailmer,Wishiwashi,Wailmer,Wailmer,Wailmer,,,,
Route116,Zigzagoon,Pidove,Starly,Joltik,Nincada,Eevee,Taillow,Skitty,Riolu,Riolu,,,,,,,,,,,,,,,,,
Route117,Zigzagoon,Rattata,Roselia,Deerling,Illumise,Volbeat,Tympole,Marill,Oddish,Surskit,Marill,Azumarill,Surskit,Masquerain,Magikarp,Goldeen,Magikarp,Goldeen,Corphish,Corphish,Corphish,Corphish,Crawdaunt,,,,
Route118,Linoone,Raticate,Electrike,Luxio,Wingull,Aipom,Kecleon,Raticate,Electrike,Dedenne,Tentacool,Wingull,Pelipper,Pelipper,Magikarp,Basculin,Magikarp,Basculin,Carvanha,Basculin,Carvanha,Carvanha,Sharpedo,,,,
Route119,Linoone,Linoone,Linoone,Linoone,Gloom,Gloom,Tropius,Tropius,Kecleon,Kecleon,Tentacool,Wingull,Pelipper,Pelipper,Magikarp,Basculin,Basculin,Carvanha,Feebas,Basculin,Carvanha,Sharpedo,Feebas,,,,
Route120,Linoone,Linoone,Goomy,Goomy,Gloom,Gloom,Tropius,Tropius,Absol,Absol,Marill,Azumarill,Surskit,Masquerain,Magikarp,Goldeen,Magikarp,Goldeen,Barboach,Barboach,Barboach,Barboach,Barboach,,,,
Route121,Linoone,Elgyem,Shuppet,Hypno,Gloom,Aipom,Pelipper,Pelipper,Kecleon,Kecleon,,,,,,,,,,,,,,,,,
Route122,,,,,,,,,,,Frillish,Finneon,Alomomola,Alomomola,Magikarp,Tentacool,Magikarp,Tentacool,Wailmer,Wailmer,Wailmer,Wailmer,Wailmer,,,,
Route123,Linoone,Linoone,Linoone,Shuppet,Shuppet,Gloom,Pelipper,Pelipper,Kecleon,Kecleon,Marill,Azumarill,Surskit,Masquerain,Magikarp,Goldeen,Magikarp,Goldeen,Corphish,Corphish,Corphish,Corphish,Crawdaunt,,,,
Route124,,,,,,,,,,,Frillish,Finneon,Alomomola,Alomomola,Magikarp,Tentacool,Magikarp,Tentacool,Wailmer,Wailmer,Wailmer,Wailmer,Wailmer,,,,
Route125,,,,,,,,,,,Frillish,Finneon,Seel,Seel,Magikarp,Tentacool,Magikarp,Tentacool,Wailmer,Wailmer,Wailmer,Wailmer,Wailmer,,,,
Route126,,,,,,,,,,,Frillish,Finneon,Alomomola,Alomomola,Magikarp,Tentacool,Magikarp,Tentacool,Wailmer,Wailmer,Wailmer,Wailmer,Wailmer,,,,
Route127,,,,,,,,,,,Frillish,Finneon,Alomomola,Alomomola,Magikarp,Tentacool,Magikarp,Tentacool,Wailmer,Wailmer,Wailmer,Wailmer,Wailmer,,,,
Route128,,,,,,,,,,,Frillish,Finneon,Alomomola,Alomomola,Magikarp,Tentacool,Magikarp,Luvdisc,Wailmer,Luvdisc,Luvdisc,Wailmer,Corsola,,,,
Route129,,,,,,,,,,,Frillish,Finneon,Alomomola,Alomomola,Magikarp,Tentacool,Magikarp,Tentacool,Wailmer,Wailmer,Wailmer,Wailmer,Wailmer,,,,
Route130,,,,,,,,,,,Frillish,Finneon,Alomomola,Alomomola,Magikarp,Tentacool,Magikarp,Tentacool,Wailmer,Wailmer,Horsea,Horsea,Seadra,,,,
Route131,,,,,,,,,,,Frillish,Finneon,Alomomola,Alomomola,Magikarp,Tentacool,Magikarp,Tentacool,Wailmer,Wailmer,Horsea,Horsea,Seadra,,,,
Route132,,,,,,,,,,,Frillish,Finneon,Alomomola,Alomomola,Magikarp,Tentacool,Magikarp,Tentacool,Wailmer,Wailmer,Horsea,Horsea,Seadra,,,,
Route133,,,,,,,,,,,Frillish,Finneon,Alomomola,Alomomola,Magikarp,Tentacool,Magikarp,Tentacool,Wailmer,Wailmer,Horsea,Horsea,Seadra,,,,
Route134,,,,,,,,,,,Frillish,Finneon,Alomomola,Alomomola,Magikarp,Tentacool,Magikarp,Tentacool,Wailmer,Wailmer,Horsea,Horsea,Seadra,,,,
Underwater_Route124,,,,,,,,,,,Chinchou,Clamperl,Lanturn,Relicanth,,,,,,,,,,,,,
Underwater_Route126,,,,,,,,,,,Chinchou,Clamperl,Lanturn,Relicanth,,,,,,,,,,,,,
MeteorFalls_1F_1R,Zubat,Deino,Zubat,Deino,Druddigon,Ferroseed,Lunatone,Lunatone,Solrock,Solrock,Zubat,Golbat,Lunatone,Solrock,Magikarp,Goldeen,Magikarp,Goldeen,Barboach,Barboach,Barboach,Barboach,Barboach,,,,
MeteorFalls_1F_2R,Golbat,Deino,Golbat,Deino,Druddigon,Ferroseed,Lunatone,Lunatone,Solrock,Solrock,Golbat,Golbat,Lunatone,Solrock,Magikarp,Goldeen,Magikarp,Goldeen,Barboach,Barboach,Barboach,Barboach,Whiscash,,,,
MeteorFalls_B1F_1R,Golbat,Deino,Golbat,Deino,Druddigon,Ferroseed,Lunatone,Lunatone,Solrock,Solrock,Golbat,Golbat,Lunatone,Solrock,Magikarp,Goldeen,Magikarp,Goldeen,Barboach,Barboach,Barboach,Barboach,Whiscash,,,,
MeteorFalls_B1F_2R,Golbat,Deino,Bagon,Bagon,Druddigon,Ferroseed,Lunatone,Lunatone,Solrock,Solrock,Golbat,Golbat,Lunatone,Solrock,Magikarp,Goldeen,Magikarp,Goldeen,Barboach,Barboach,Barboach,Barboach,Whiscash,,,,
MeteorFalls_StevensCave,Beldum,Unown,Beldum,Unown,Beldum,Unown,Beldum,Unown,Beldum,Unown,,,,,,,,,,,,,,,,,
RusturfTunnel,Whismur,Whismur,Whismur,Whismur,Whismur,Whismur,Woobat,Woobat,Woobat,Woobat,,,,,,,,,,,,,,,,,
GraniteCave_1F,Zubat,Timburr,Makuhita,Axew,Abra,Onix,Geodude,Makuhita,Axew,Abra,,,,,,,,,,,,,,,,,
GraniteCave_B1F,Zubat,Timburr,Aron,Axew,Abra,Onix,Makuhita,Makuhita,Axew,Abra,,,,,,,,,,,,,,,,,
GraniteCave_B2F,Zubat,Timburr,Aron,Axew,Abra,Onix,Sableye,Sableye,Mawile,Mawile,,,,,,,,,,,,,,Geodude,Geodude,Nosepass,Nosepass
GraniteCave_StevensRoom,Zubat,Timburr,Aron,Axew,Abra,Onix,Sableye,Sableye,Mawile,Mawile,,,,,,,,,,,,,,,,,
PetalburgWoods,Zigzagoon,Cottonee,Wurmple,Paras,Silcoon,Cascoon,Phantump,Taillow,Shroomish,Slakoth,,,,,,,,,,,,,,,,,
JaggedPass,Numel,Ponyta,Machop,Mankey,Spoink,Tyrogue,Salandit,Salandit,Ponyta,Ponyta,,,,,,,,,,,,,,,,,
FieryPath,Numel,Roggenrola,Koffing,Diglett,Slugma,Tyrogue,Machop,Torkoal,Grimer,Grimer,,,,,,,,,,,,,,,,,
MtPyre_1F,Shuppet,Duskull,Shuppet,Duskull,Shuppet,Murkrow,Gastly,Gastly,Litwick,Litwick,,,,,,,,,,,,,,,,,
MtPyre_2F,Shuppet,Duskull,Shuppet,Duskull,Shuppet,Murkrow,Gastly,Gastly,Litwick,Litwick,,,,,,,,,,,,,,,,,
MtPyre_3F,Shuppet,Duskull,Shuppet,Duskull,Shuppet,Murkrow,Gastly,Gastly,Litwick,Litwick,,,,,,,,,,,,,,,,,
MtPyre_4F,Shuppet,Duskull,Shuppet,Duskull,Shuppet,Murkrow,Gastly,Gastly,Litwick,Litwick,,,,,,,,,,,,,,,,,
MtPyre_5F,Shuppet,Duskull,Shuppet,Duskull,Shuppet,Murkrow,Gastly,Gastly,Litwick,Litwick,,,,,,,,,,,,,,,,,
MtPyre_6F,Shuppet,Duskull,Shuppet,Duskull,Shuppet,Murkrow,Gastly,Gastly,Litwick,Litwick,,,,,,,,,,,,,,,,,
MtPyre_Exterior,Shuppet,Elgyem,Meditite,Bronzor,Vulpix,Growlithe,Wingull,Shuppet,Elgyem,Meditite,,,,,,,,,,,,,,,,,
MtPyre_Summit,Shuppet,Elgyem,Meditite,Bronzor,Vulpix,Growlithe,Chimecho,Shuppet,Elgyem,Meditite,,,,,,,,,,,,,,,,,
SeafloorCavern_Entrance,,,,,,,,,,,Tentacool,Zubat,Golbat,Golbat,Magikarp,Tentacool,Magikarp,Tentacool,Wailmer,Wailmer,Wailmer,Wailmer,Wailmer,,,,
SeafloorCavern_Room1,Zubat,Zubat,Zubat,Zubat,Zubat,Zubat,Zubat,Zubat,Golbat,Golbat,,,,,,,,,,,,,,,,,
SeafloorCavern_Room2,Zubat,Zubat,Zubat,Zubat,Zubat,Zubat,Zubat,Zubat,Golbat,Golbat,,,,,,,,,,,,,,,,,
SeafloorCavern_Room3,Zubat,Zubat,Zubat,Zubat,Zubat,Zubat,Zubat,Zubat,Golbat,Golbat,,,,,,,,,,,,,,,,,
SeafloorCavern_Room4,Zubat,Zubat,Zubat,Zubat,Zubat,Zubat,Zubat,Zubat,Golbat,Golbat,,,,,,,,,,,,,,,,,
SeafloorCavern_Room5,Zubat,Zubat,Zubat,Zubat,Zubat,Zubat,Zubat,Zubat,Golbat,Golbat,,,,,,,,,,,,,,,,,
SeafloorCavern_Room6,Zubat,Zubat,Zubat,Zubat,Zubat,Zubat,Zubat,Zubat,Golbat,Golbat,Tentacool,Zubat,Golbat,Golbat,Magikarp,Tentacool,Magikarp,Tentacool,Wailmer,Wailmer,Wailmer,Wailmer,Wailmer,,,,
SeafloorCavern_Room7,Zubat,Zubat,Zubat,Zubat,Zubat,Zubat,Zubat,Zubat,Golbat,Golbat,Tentacool,Zubat,Golbat,Golbat,Magikarp,Tentacool,Magikarp,Tentacool,Wailmer,Wailmer,Wailmer,Wailmer,Wailmer,,,,
SeafloorCavern_Room8,Zubat,Zubat,Zubat,Zubat,Zubat,Zubat,Zubat,Zubat,Golbat,Golbat,,,,,,,,,,,,,,,,,
CaveOfOrigin_Entrance,Golbat,Golbat,Golbat,Golbat,Sableye,Mawile,Sableye,Mawile,Sableye,Mawile,,,,,,,,,,,,,,,,,
CaveOfOrigin_1F,Golbat,Golbat,Golbat,Golbat,Sableye,Mawile,Sableye,Mawile,Sableye,Mawile,,,,,,,,,,,,,,,,,
VictoryRoad_1F,Golbat,Golbat,Lairon,Lairon,Hariyama,Loudred,Sableye,Mawile,Medicham,Medicham,,,,,,,,,,,,,,,,,
VictoryRoad_B1F,Golbat,Golbat,Lairon,Lairon,Hariyama,Loudred,Sableye,Mawile,Medicham,Medicham,,,,,,,,,,,,,,Graveler,Geodude,Graveler,Graveler
VictoryRoad_B2F,Golbat,Golbat,Lairon,Lairon,Hariyama,Loudred,Sableye,Mawile,Medicham,Medicham,Tentacool,Golbat,Tentacruel,Tentacruel,Magikarp,Tentacool,Magikarp,Luvdisc,Wailmer,Luvdisc,Luvdisc,Wailmer,Wailmer,,,,
ShoalCave_LowTideEntranceRoom,Golbat,Cubchoo,Spheal,Delibird,Sealeo,Dewgong,Snorunt,Snorunt,Golbat,Cubchoo,Zubat,Tentacool,Spheal,Spheal,Magikarp,Tentacool,Magikarp,Tentacool,Wailmer,Wailmer,Wailmer,Wailmer,Wailmer,,,,
ShoalCave_LowTideInnerRoom,Golbat,Cubchoo,Spheal,Delibird,Sealeo,Dewgong,Snorunt,Snorunt,Golbat,Cubchoo,Zubat,Tentacool,Spheal,Spheal,Magikarp,Tentacool,Magikarp,Tentacool,Wailmer,Wailmer,Wailmer,Wailmer,Wailmer,,,,
ShoalCave_LowTideStairsRoom,Golbat,Cubchoo,Spheal,Delibird,Sealeo,Dewgong,Snorunt,Snorunt,Golbat,Cubchoo,,,,,,,,,,,,,,,,,
ShoalCave_LowTideLowerRoom,Golbat,Cubchoo,Spheal,Delibird,Sealeo,Dewgong,Snorunt,Snorunt,Golbat,Cubchoo,,,,,,,,,,,,,,,,,
ShoalCave_LowTideIceRoom,Sealeo,Sealeo,Snorunt,Snorunt,Snorunt,Spheal,Spheal,Spheal,Golbat,Golbat,,,,,,,,,,,,,,,,,
NewMauville_Entrance,Magnemite,Magnemite,Magnemite,Magnemite,Magnemite,Voltorb,Voltorb,Voltorb,Voltorb,Voltorb,,,,,,,,,,,,,,,,,
NewMauville_Inside,Magnemite,Magnemite,Magnemite,Magnemite,Magnemite,Voltorb,Voltorb,Voltorb,Voltorb,Voltorb,,,,,,,,,,,,,,,,,
AbandonedShip_Rooms_B1F,,,,,,,,,,,Tentacool,Tentacool,Tentacruel,Tentacruel,Tentacool,Magikarp,Tentacool,Tentacool,Magikarp,Tentacool,Tentacool,Tentacruel,Tentacruel,,,,
AbandonedShip_HiddenFloorCorridors,,,,,,,,,,,Tentacool,Tentacool,Tentacruel,Tentacruel,Tentacool,Magikarp,Tentacool,Tentacool,Magikarp,Tentacool,Tentacool,Tentacruel,Tentacruel,,,,
SkyPillar_1F,Golbat,Golbat,Claydol,Claydol,Golurk,Ariados,Sableye,Sableye,Mawile,Mawile,,,,,,,,,,,,,,,,,
SkyPillar_3F,Golbat,Golbat,Claydol,Claydol,Golurk,Ariados,Sableye,Sableye,Mawile,Mawile,,,,,,,,,,,,,,,,,
SkyPillar_5F,Golbat,Golbat,Claydol,Claydol,Golurk,Ariados,Sableye,Sableye,Mawile,Mawile,,,,,,,,,,,,,,,,,
MagmaHideout_1F,Geodude,Torkoal,Excadrill,Turtonator,Geodude,Geodude,Boldore,Boldore,Graveler,Gigalith,,,,,,,,,,,,,,,,,
MagmaHideout_2F_1R,Geodude,Torkoal,Excadrill,Turtonator,Geodude,Geodude,Boldore,Boldore,Graveler,Gigalith,,,,,,,,,,,,,,,,,
MagmaHideout_2F_2R,Geodude,Torkoal,Excadrill,Turtonator,Geodude,Geodude,Boldore,Boldore,Graveler,Gigalith,,,,,,,,,,,,,,,,,
MagmaHideout_3F_1R,Geodude,Torkoal,Excadrill,Turtonator,Geodude,Geodude,Boldore,Boldore,Graveler,Gigalith,,,,,,,,,,,,,,,,,
MagmaHideout_3F_2R,Geodude,Torkoal,Excadrill,Turtonator,Geodude,Geodude,Boldore,Boldore,Graveler,Gigalith,,,,,,,,,,,,,,,,,
MagmaHideout_4F,Geodude,Torkoal,Excadrill,Turtonator,Geodude,Geodude,Boldore,Boldore,Graveler,Gigalith,,,,,,,,,,,,,,,,,
MagmaHideout_3F_3R,Geodude,Torkoal,Excadrill,Turtonator,Geodude,Geodude,Boldore,Boldore,Graveler,Gigalith,,,,,,,,,,,,,,,,,
MagmaHideout_2F_3R,Geodude,Torkoal,Excadrill,Turtonator,Geodude,Geodude,Boldore,Boldore,Graveler,Gigalith,,,,,,,,,,,,,,,,,
MirageTower_1F,Yamask,Trapinch,Sandshrew,Honedge,Golett,Helioptile,Sandshrew,Trapinch,Hawlucha,Sigilyph,,,,,,,,,,,,,,,,,
MirageTower_2F,Yamask,Trapinch,Sandshrew,Honedge,Golett,Helioptile,Sandshrew,Trapinch,Hawlucha,Sigilyph,,,,,,,,,,,,,,,,,
MirageTower_3F,Yamask,Trapinch,Sandshrew,Honedge,Golett,Helioptile,Sandshrew,Trapinch,Hawlucha,Sigilyph,,,,,,,,,,,,,,,,,
MirageTower_4F,Yamask,Trapinch,Sandshrew,Honedge,Golett,Helioptile,Sandshrew,Trapinch,Hawlucha,Sigilyph,,,,,,,,,,,,,,,,,
DesertUnderpass,Ditto,Whismur,Ditto,Loudred,Ditto,Whismur,Loudred,Ditto,Whismur,Loudred,,,,,,,,,,,,,,,,,
ArtisanCave_B1F,Smeargle,Smeargle,Smeargle,Smeargle,Smeargle,Smeargle,Smeargle,Smeargle,Smeargle,Smeargle,,,,,,,,,,,,,,,,,
ArtisanCave_1F,Smeargle,Smeargle,Smeargle,Smeargle,Smeargle,Smeargle,Smeargle,Smeargle,Smeargle,Smeargle,,,,,,,,,,,,,,,,,
AlteringCave1,Zubat,Mareep,Aipom,Pineco,Shuckle,Teddiursa,Houndour,Stantler,Houndour,Stantler,,,,,,,,,,,,,,,,,
SafariZone_Northwest,Xatu,Dodrio,Rhyhorn,Rhyhorn,Pinsir,Rhydon,Chansey,Chansey,Raticate,Raticate,Psyduck,Psyduck,Golduck,Golduck,Magikarp,Goldeen,Magikarp,Goldeen,Goldeen,Goldeen,Goldeen,Seaking,Seaking,,,,
SafariZone_North,Gloom,Weepinbell,Donphan,Marowak,Heracross,Kangaskhan,Dugtrio,Dugtrio,Donphan,Donphan,,,,,,,,,,,,,,Geodude,Geodude,Geodude,Geodude
SafariZone_Southwest,Karrablast,Shelmet,Palpitoad,Palpitoad,Seismitoad,Toxicroak,Goomy,Goomy,Arbok,Arbok,Psyduck,Psyduck,Psyduck,Psyduck,Magikarp,Goldeen,Magikarp,Goldeen,Goldeen,Goldeen,Goldeen,Seaking,Seaking,,,,
SafariZone_South,Wobbuffet,Pikachu,Meowth,Meowth,Smeargle,Girafarig,Persian,Persian,Raichu,Raichu,,,,,,,,,,,,,,,,,
SafariZone_Northeast,Houndour,Pineco,Forretress,Miltank,Tauros,Ledian,Nidorino,Nidorino,Nidorina,Nidorina,,,,,,,,,,,,,,Shuckle,Shuckle,Shuckle,Shuckle
SafariZone_Southeast,Gligar,Mareep,Spinarak,Spinarak,Aipom,Aipom,Snubbull,Snubbull,Stantler,Stantler,Wooper,Marill,Marill,Quagsire,Magikarp,Goldeen,Magikarp,Goldeen,Remoraid,Goldeen,Remoraid,Remoraid,Octillery,,,,